alltags,category,subcategory,label
52,1,5,10.58
19,4,45,5.55
4,2,21,3.00
12,10,76,13.17
3,3,38,4.81
34,1,8,8.38
17,10,76,5.21
26,4,48,8.48
2,2,28,6.63
16,10,76,5.83
9,2,28,4.58
28,2,19,6.94
56,6,57,7.00
35,1,8,6.21
2,4,48,5.25
3,4,47,6.44
6,2,21,3.58
13,1,7,12.41
11,4,44,7.58
10,2,22,5.70
11,6,56,8.27
8,7,67,3.81
9,1,5,2.00
15,2,32,3.17
22,2,23,5.04
23,8,68,5.04
28,5,51,4.09
17,5,52,5.64
11,6,57,2.00
13,6,56,6.78
43,7,63,10.38
37,2,22,6.67
28,6,59,3.70
6,4,47,3.17
6,6,55,4.00
74,4,44,7.79
15,4,47,5.73
15,5,51,4.17
40,2,25,10.95
20,2,22,5.95
14,5,53,5.00
2,2,25,6.07
3,1,6,7.62
15,9,73,7.44
16,2,19,5.91
62,4,45,8.74
9,7,65,8.22
20,1,5,8.56
18,4,44,4.09
8,3,40,7.55
15,3,39,7.09
6,4,49,3.17
13,6,55,8.80
12,2,34,5.88
7,4,47,4.25
8,6,59,7.12
14,1,9,6.97
7,4,47,4.39
10,8,68,5.98
7,1,4,4.86
49,9,70,8.88
45,1,1,6.32
21,3,38,4.00
27,1,9,11.20
35,1,5,5.83
12,4,48,5.67
14,2,28,9.66
7,2,35,4.52
21,7,63,5.36
4,2,31,6.11
4,4,49,4.09
74,9,2,6.38
20,9,71,4.95
14,3,38,10.42
25,4,47,7.17
7,6,56,5.98
75,1,8,10.44
3,6,56,4.81
19,6,57,2.32
5,2,23,5.00
28,2,29,6.36
9,4,48,4.52
68,9,71,10.73
34,1,6,7.94
14,1,9,10.08
28,2,27,2.32
24,2,29,5.29
8,5,50,3.91
6,2,33,5.39
29,4,48,5.70
23,7,63,9.64
21,3,38,8.55
41,2,20,6.11
9,9,73,2.58
26,9,73,6.93
11,7,64,6.25
35,9,2,7.39
21,10,75,7.67
32,11,77,10.74
51,4,46,4.86
19,7,67,8.85
9,5,51,6.00
16,4,46,8.43
19,2,23,5.58
11,2,27,5.93
5,2,33,2.00
20,2,29,2.58
18,3,39,9.28
3,2,32,3.00
9,7,65,4.39
7,2,24,4.17
37,2,32,6.11
18,2,32,6.32
19,2,23,5.00
3,2,24,6.13
27,10,75,6.36
4,5,50,6.75
17,3,39,7.99
9,7,67,7.76
8,3,38,6.02
5,9,73,4.39
25,6,60,4.86
13,1,7,8.60
7,1,11,4.32
11,1,6,7.44
13,1,11,8.82
48,4,45,5.00
63,9,71,5.09
7,4,48,2.00
29,3,38,9.44
11,10,75,6.00
11,2,27,5.13
51,2,22,8.72
10,1,8,6.61
18,4,47,7.38
3,1,4,6.38
6,3,39,5.61
28,2,29,8.73
28,4,44,3.17
27,1,12,3.58
4,4,47,4.95
20,5,50,2.58
56,2,22,4.86
8,4,48,9.34
62,5,50,6.86
12,4,47,6.71
16,1,11,8.03
26,4,45,5.00
7,2,28,5.58
54,1,11,13.29
15,9,72,4.25
6,5,50,1.00
10,9,71,3.32
18,6,62,5.73
27,2,32,4.58
24,7,63,3.58
71,2,32,4.91
13,4,47,4.25
14,4,46,9.15
11,4,48,7.38
4,4,48,5.17
17,1,6,4.81
13,8,68,4.00
30,4,44,5.67
14,11,77,1.00
19,1,6,7.68
11,6,59,5.39
6,1,8,8.09
7,2,22,8.11
18,4,49,6.77
48,3,38,4.09
24,8,68,9.13
24,4,45,4.52
63,4,44,6.73
52,7,64,6.21
10,1,7,7.10
15,5,51,4.86
2,2,21,4.75
6,4,49,7.61
10,3,40,6.66
23,11,77,6.30
3,2,18,9.18
16,4,47,6.27
6,11,77,6.09
7,2,28,5.17
17,9,73,2.58
48,10,75,5.43
4,3,40,6.75
7,2,35,5.09
30,10,75,10.13
11,6,62,5.09
66,6,56,14.94
53,2,32,9.24
10,4,46,2.00
30,2,18,6.29
5,1,8,6.38
16,1,9,7.98
34,2,22,6.07
13,4,44,4.75
14,6,55,4.64
45,1,4,7.58
14,1,9,5.29
63,2,19,9.87
12,4,47,7.84
19,1,7,5.61
58,2,29,6.44
22,2,22,6.92
49,1,6,10.24
2,9,73,6.67
21,9,73,6.86
17,1,8,11.48
9,2,18,7.07
14,2,28,5.43
9,4,48,5.17
6,2,21,1.58
8,2,16,3.70
28,3,40,4.70
74,4,44,7.51
7,1,8,4.64
3,4,47,7.38
45,10,75,5.32
22,4,46,6.74
16,4,45,9.03
39,3,40,13.86
17,1,7,10.21
28,3,39,4.09
13,2,32,6.95
18,7,65,5.49
31,5,51,6.15
6,2,33,5.39
55,4,48,5.21
21,2,32,3.46
6,2,33,4.70
62,3,40,5.09
18,6,60,3.91
7,4,49,3.81
15,2,19,4.64
3,6,58,1.58
21,4,48,4.39
7,1,4,8.76
17,4,48,6.69
29,2,19,5.67
42,9,70,7.67
5,4,47,4.58
19,4,47,7.73
27,6,59,6.55
23,1,5,7.99
30,2,17,3.46
43,3,40,6.83
4,6,55,3.32
24,6,57,8.11
24,10,76,2.81
14,4,48,7.93
57,1,6,6.44
6,3,38,3.58
10,10,76,9.86
16,1,9,3.58
9,2,18,7.37
5,9,73,7.08
4,1,5,7.09
26,5,50,4.58
63,5,50,8.10
5,3,39,6.78
53,4,44,6.36
21,7,67,7.91
33,6,56,9.00
47,1,9,5.21
6,2,22,12.78
69,4,48,9.46
22,7,65,5.32
10,2,22,6.52
4,8,68,5.61
11,2,27,9.02
21,9,73,11.48
28,6,56,6.19
10,2,23,6.67
10,2,24,5.67
25,6,56,10.76
30,4,47,4.86
7,4,47,4.58
67,1,8,8.34
42,5,53,9.91
5,2,32,5.25
28,2,32,8.18
2,4,47,6.78
13,1,8,6.11
2,4,43,2.00
7,4,47,5.17
6,2,33,7.47
23,7,63,7.71
38,2,28,5.46
13,1,10,7.19
32,4,44,8.49
20,2,29,7.18
40,4,44,5.58
21,3,38,8.60
8,4,47,5.81
21,10,76,4.52
7,1,9,2.00
10,4,48,9.26
7,1,4,7.45
8,3,38,8.65
52,9,73,9.89
31,8,69,3.17
10,1,5,8.87
16,2,29,4.75
12,7,63,3.70
3,1,4,3.00
2,4,44,1.58
8,10,75,6.02
26,2,34,8.15
2,4,44,4.46
9,1,8,5.58
18,7,67,6.11
7,4,47,3.91
41,6,59,8.03
4,3,41,4.00
10,7,64,4.25
43,6,56,1.58
13,8,68,8.82
38,2,34,5.86
13,9,73,7.99
5,3,38,1.00
5,4,48,9.80
15,2,32,6.34
5,4,47,9.81
9,9,71,9.55
9,6,56,11.66
2,5,51,3.70
51,1,8,9.74
8,6,55,8.97
7,5,50,8.17
31,6,57,3.46
70,2,32,10.34
49,5,51,10.12
15,7,65,7.24
25,2,34,6.70
31,9,71,11.43
17,2,29,10.30
29,1,9,7.02
11,3,39,3.46
20,3,39,6.00
13,11,77,5.52
14,2,25,5.09
4,2,35,7.43
24,4,47,5.95
17,7,65,7.01
13,4,48,3.91
10,7,65,3.00
18,2,35,10.24
31,1,9,6.93
17,10,75,5.43
21,9,73,4.58
23,1,5,10.43
7,2,18,8.79
56,4,45,8.18
42,3,39,8.21
39,3,41,5.17
11,3,40,3.70
11,1,5,13.84
26,2,32,8.53
39,1,8,14.88
30,7,67,15.32
34,9,70,8.55
13,4,43,6.64
34,5,53,10.20
4,3,38,3.32
14,1,8,4.46
4,4,47,5.13
4,2,20,1.00
34,6,56,9.08
25,1,1,7.91
35,2,16,5.13
5,2,21,6.81
5,4,47,4.91
24,7,64,7.45
9,6,55,6.27
45,1,8,7.90
10,6,57,3.32
9,3,38,6.64
12,2,17,7.13
11,10,75,9.71
54,4,48,8.25
15,5,50,8.59
13,3,38,6.52
12,4,46,5.81
5,4,49,6.48
34,11,77,11.27
4,2,20,1.00
50,9,70,7.29
37,1,8,14.85
13,1,10,6.30
30,3,38,4.17
45,3,39,7.85
10,4,48,9.44
5,2,23,6.58
5,11,77,5.17
50,4,45,9.19
15,1,10,8.10
3,3,38,6.92
23,6,60,7.16
13,2,28,5.04
21,7,65,8.08
7,2,17,3.81
8,7,65,3.81
27,1,8,8.90
12,2,31,5.36
29,4,47,6.29
10,1,9,9.79
27,4,44,5.00
17,2,22,5.81
42,2,18,8.29
14,6,59,9.90
25,2,35,5.91
19,10,76,5.81
22,1,5,12.48
8,4,49,4.81
16,7,66,4.95
58,2,17,6.25
11,2,32,4.58
14,1,4,7.71
27,1,9,12.51
18,1,7,6.19
9,3,40,8.94
9,8,68,5.00
52,1,9,6.81
67,4,44,6.48
12,2,19,8.70
25,2,34,6.69
5,5,51,7.49
61,6,62,6.27
19,2,19,5.52
12,3,38,6.30
34,4,47,6.21
10,10,76,7.24
48,10,76,2.32
46,7,65,6.11
8,2,29,3.00
24,2,28,8.33
48,4,48,8.20
15,10,75,4.39
13,8,68,4.09
25,1,7,13.80
26,5,50,4.52
21,2,31,5.17
31,4,47,9.67
12,2,23,5.04
72,5,53,8.65
40,1,1,7.77
24,10,76,3.00
18,4,47,6.98
4,9,73,3.00
62,3,38,11.41
11,8,68,5.67
7,4,45,3.00
12,2,32,2.32
15,4,47,6.48
52,3,39,6.17
3,4,47,5.93
7,3,39,7.10
7,5,50,6.48
9,9,71,8.03
69,2,25,11.58
10,1,6,4.95
18,1,7,6.78
3,1,11,3.32
30,11,77,10.86
48,2,23,5.83
1,4,47,4.39
12,2,32,7.89
13,9,73,6.13
16,6,57,4.17
27,3,40,7.32
11,7,63,6.13
3,10,76,4.09
21,2,34,3.00
5,1,5,3.46
13,4,48,4.52
7,9,73,9.20
47,9,73,4.09
8,7,67,3.46
9,1,6,2.32
14,1,6,7.67
14,9,73,3.91
10,5,50,6.81
13,6,62,8.47
23,6,57,3.32
12,4,46,5.46
49,3,38,6.67
75,3,40,6.91
6,4,49,4.32
28,4,44,3.00
36,7,64,6.29
11,9,73,6.74
5,1,10,5.49
7,4,47,4.95
62,4,45,6.30
12,4,47,5.61
11,6,62,10.93
10,3,38,6.21
3,6,56,4.86
47,4,43,8.08
1,2,25,3.70
22,2,29,7.90
9,1,9,11.20
7,2,22,3.32
38,7,64,9.27
11,2,25,10.62
4,9,73,2.00
27,1,6,9.78
18,1,7,6.17
5,2,18,7.01
5,1,5,10.62
66,1,8,8.48
62,1,5,9.12
19,2,18,6.87
47,6,62,13.02
22,7,65,5.21
17,7,67,4.46
62,1,5,8.82
15,3,39,7.49
17,4,48,6.60
4,9,71,3.17
32,5,51,6.25
61,2,32,9.75
4,1,10,6.67
1,2,25,3.70
12,2,28,5.70
13,2,19,5.43
13,7,63,4.70
13,3,39,5.29
34,1,8,7.30
45,3,40,10.96
15,5,53,8.91
4,9,73,2.32
56,4,45,7.41
9,3,40,4.32
6,3,38,8.15
52,1,5,6.07
30,3,40,8.01
16,3,39,4.75
26,7,64,6.25
15,1,2,8.02
21,9,73,7.10
60,3,39,6.49
11,8,68,4.52
18,9,73,4.81
62,1,5,11.61
35,1,4,7.15
4,1,5,5.21
17,1,5,11.34
25,10,75,5.00
25,4,49,6.13
19,9,73,8.03
1,4,47,2.32
44,1,5,7.36
44,1,10,11.19
13,8,68,4.64
51,2,32,7.23
17,7,64,3.58
10,3,38,7.79
19,10,75,4.39
12,2,32,6.00
25,10,76,7.13
22,6,59,8.11
26,9,73,7.34
4,5,53,4.64
12,7,63,6.98
10,7,65,9.44
21,2,34,3.17
11,2,27,5.13
8,7,65,5.09
8,2,26,7.89
3,1,4,5.78
1,3,38,5.86
14,5,51,10.09
13,6,56,14.08
36,2,34,10.39
6,2,18,2.81
36,3,40,7.31
16,4,47,6.23
25,4,48,8.62
12,10,76,9.46
13,2,32,8.61
31,2,27,5.86
23,3,38,6.09
24,2,28,6.60
13,2,32,2.00
4,6,56,5.91
36,6,55,5.58
26,6,56,6.36
13,2,17,6.98
62,1,5,8.37
10,2,28,5.67
55,1,1,12.47
12,1,5,6.34
12,3,39,5.36
4,6,62,7.95
18,4,48,5.70
10,8,68,4.75
9,7,66,4.00
16,6,60,2.00
37,4,47,5.04
8,3,38,7.23
10,1,5,7.17
27,2,32,7.24
14,2,23,7.58
16,4,44,5.55
16,2,28,5.52
62,4,44,6.39
22,5,52,6.46
55,10,75,6.21
7,2,28,6.88
2,4,48,3.17
4,2,18,5.61
29,4,44,12.45
17,4,44,4.52
5,4,49,4.64
19,2,18,3.81
19,3,38,5.39
49,5,50,6.21
13,2,34,4.70
18,10,75,6.97
9,7,67,5.67
44,7,65,7.94
4,4,46,3.81
35,2,28,10.33
67,4,44,7.03
15,7,67,8.02
47,2,32,7.23
70,4,48,5.29
53,2,32,7.74
26,10,75,7.56
5,4,47,5.43
15,3,39,4.95
14,1,8,10.24
44,7,65,9.36
6,4,48,4.95
7,7,63,5.13
12,1,8,8.49
8,7,63,7.89
12,11,77,6.83
12,1,9,5.58
9,9,71,2.81
31,5,50,3.46
7,1,9,2.00
20,2,29,5.13
17,1,5,6.86
48,1,8,7.09
32,10,75,8.61
16,1,2,4.00
6,5,51,1.00
23,10,76,3.58
28,10,75,7.08
21,9,73,4.32
7,3,39,8.99
7,2,33,8.75
8,3,39,3.70
14,2,28,5.49
70,2,25,10.87
8,3,39,3.46
5,2,21,6.87
69,4,45,12.70
24,10,76,2.81
16,5,51,3.58
22,6,57,6.39
21,9,73,4.25
6,2,24,3.17
14,1,2,7.19
32,3,38,7.45
29,10,76,10.70
23,1,9,4.91
4,1,5,6.87
48,2,31,7.89
10,2,32,5.70
8,7,65,6.32
55,7,65,6.46
7,1,11,3.00
13,4,46,2.32
26,9,73,10.00
10,3,38,8.52
4,7,63,2.00
11,9,73,2.81
30,3,38,9.41
21,3,38,8.57
48,2,31,8.04
4,6,62,10.87
26,2,32,6.27
4,4,48,5.93
5,5,52,2.81
63,2,17,6.29
26,9,73,9.08
5,2,20,10.16
50,2,32,4.46
29,2,29,6.11
6,7,63,7.58
9,2,28,4.39
58,1,5,9.43
6,7,65,1.00
7,2,18,8.64
12,4,46,5.46
12,2,32,3.17
31,8,68,8.38
5,7,65,1.00
6,5,53,6.09
48,2,27,10.28
10,7,63,6.66
11,1,4,5.17
11,3,39,10.01
44,4,47,7.29
4,6,58,2.00
8,9,71,6.67
4,2,34,1.58
23,8,68,4.81
29,1,5,11.26
44,2,18,10.82
10,2,22,3.17
7,7,64,9.99
22,4,44,5.32
12,2,28,5.73
15,4,48,4.75
9,2,32,4.39
21,7,64,3.00
5,5,53,10.95
12,1,2,3.70
9,2,28,3.91
11,7,66,10.00
19,2,19,5.36
2,5,51,1.00
9,4,48,3.70
55,4,44,6.89
3,3,40,2.00
14,7,67,8.60
19,9,71,5.75
12,2,29,3.91
6,7,63,1.00
15,3,39,5.13
31,6,55,7.98
7,3,38,3.46
3,4,47,7.50
17,6,59,6.63
37,2,22,10.92
61,8,68,7.10
24,7,63,3.17
26,4,47,6.91
27,7,65,4.25
24,4,44,5.39
17,3,39,3.91
56,2,18,8.85
28,3,39,9.74
20,4,48,8.89
9,7,65,6.75
10,4,47,3.58
9,5,51,6.04
12,10,76,1.00
14,3,38,10.39
12,4,48,4.17
19,6,55,5.70
53,4,48,9.23
31,7,63,6.17
3,4,48,4.58
10,9,73,5.73
23,7,65,6.94
6,3,40,7.37
17,6,56,9.46
11,1,10,2.00
11,2,16,8.18
13,7,67,4.70
15,11,77,5.36
41,2,24,7.73
26,4,47,7.00
23,3,40,7.03
26,7,67,7.94
9,2,26,8.55
18,2,19,4.91
7,6,55,6.78
25,4,47,9.16
16,9,72,6.13
13,6,60,8.96
34,4,49,5.78
17,5,50,3.32
58,9,72,4.46
8,9,71,8.83
70,4,48,7.50
15,3,40,6.49
75,5,52,6.04
11,2,25,10.09
36,6,55,3.81
33,7,64,10.50
11,2,27,1.58
7,1,10,4.25
4,7,67,6.48
4,3,38,2.81
12,4,49,6.09
12,1,3,8.02
26,1,5,5.93
13,9,73,8.34
25,6,62,11.44
43,4,43,3.81
4,3,38,6.19
12,4,46,5.39
10,1,5,7.00
28,6,62,5.29
24,4,44,3.00
2,2,21,4.58
14,1,2,6.43
15,2,32,3.00
6,7,63,2.81
15,3,40,6.43
19,6,61,1.58
45,2,32,6.04
11,6,56,7.07
21,3,39,4.25
16,4,48,6.99
33,1,5,11.34
22,4,47,6.77
5,1,10,8.50
49,3,38,5.13
7,3,39,4.00
38,10,75,9.25
25,2,22,7.79
9,6,62,7.23
14,9,73,7.64
6,1,5,7.45
52,1,11,9.34
10,1,4,7.44
17,2,20,4.46
22,1,5,5.98
3,6,56,4.91
23,2,22,5.70
1,4,47,5.61
24,1,7,8.53
36,9,2,6.44
24,2,21,9.71
18,6,55,6.23
48,4,45,7.40
48,10,76,4.00
35,1,4,6.02
46,9,71,8.78
35,1,1,7.38
16,4,45,9.54
30,7,67,15.43
34,1,5,8.19
30,1,4,8.28
3,9,73,5.78
8,4,48,5.81
24,1,6,6.00
68,2,32,7.52
21,2,29,4.64
54,9,71,3.32
44,4,47,7.14
62,4,45,7.85
13,2,28,11.15
10,1,6,7.15
11,2,33,3.70
16,4,49,2.00
35,10,76,7.67
43,1,6,4.91
35,4,48,6.61
55,4,47,8.34
36,4,47,6.55
15,1,6,6.49
21,9,2,10.11
22,7,65,5.83
12,6,62,6.89
8,1,14,9.94
8,9,71,8.64
21,2,19,7.02
8,4,47,7.70
21,8,68,6.09
24,10,75,6.58
35,6,59,9.99
58,10,76,1.00
7,2,33,7.70
17,6,55,8.81
21,9,73,7.14
29,3,39,5.78
14,4,47,8.44
14,4,44,6.81
62,1,5,4.09
10,3,38,4.25
6,3,39,6.88
3,2,19,4.25
53,9,2,5.36
19,4,45,4.86
6,1,8,6.00
29,11,77,10.92
5,1,10,8.75
18,5,51,9.29
14,4,46,3.81
20,1,8,5.52
5,4,48,5.64
6,2,24,3.00
28,2,34,5.81
15,2,27,7.86
19,2,25,6.25
26,4,44,5.32
9,2,34,5.49
46,2,32,11.17
10,2,25,10.46
9,9,73,3.00
64,9,70,8.57
70,4,48,6.97
20,9,73,11.68
4,3,41,3.70
10,1,8,7.13
75,3,39,10.72
37,1,8,14.34
67,1,9,4.75
4,4,47,3.00
9,3,38,6.36
14,9,73,4.17
25,4,48,7.69
27,3,40,9.35
7,7,64,4.58
15,10,75,5.58
30,11,77,9.70
16,6,56,9.52
41,10,75,6.49
40,4,48,4.75
42,10,76,6.63
28,4,48,6.71
18,1,7,4.75
11,11,77,3.81
29,2,29,6.04
6,3,40,7.65
25,9,71,11.85
6,1,2,7.00
7,3,38,5.81
17,2,20,4.52
4,9,73,7.47
73,3,40,8.76
26,1,8,7.73
73,3,38,6.07
6,6,57,7.47
11,2,34,4.86
27,4,44,5.25
16,6,57,1.58
6,1,9,7.01
51,2,32,7.35
19,5,50,6.83
66,1,5,8.49
7,4,48,6.58
2,9,73,7.79
3,3,40,2.00
18,3,39,5.43
13,4,47,4.32
9,3,38,3.17
7,5,50,4.09
50,3,38,2.00
3,4,46,3.00
34,1,8,7.97
11,7,67,7.40
27,4,48,7.58
29,1,5,10.96
11,1,8,3.46
8,9,73,4.25
25,3,38,7.18
19,2,23,5.25
11,9,71,6.29
15,3,39,5.83
10,6,56,8.86
71,6,57,15.03
3,4,47,4.17
11,4,47,6.49
19,2,23,5.36
34,2,32,6.88
13,1,5,4.64
8,6,62,7.55
6,2,24,3.00
28,4,44,10.72
59,6,56,6.27
12,2,22,6.34
9,2,24,5.70
5,6,56,7.87
5,7,66,3.17
6,2,32,8.91
61,8,68,10.37
14,7,63,4.32
14,4,48,3.81
6,9,73,7.73
74,4,44,7.03
3,1,5,5.58
7,1,7,8.25
15,9,73,6.32
30,4,44,5.73
3,3,38,5.70
55,2,17,11.88
26,5,50,8.29
4,4,48,6.75
65,1,9,9.89
27,1,9,11.30
5,3,39,1.00
46,4,44,6.75
8,1,6,5.46
14,7,64,9.48
4,3,38,2.81
18,7,63,11.83
74,7,67,10.31
19,10,75,6.93
13,6,56,9.84
13,4,45,4.81
26,4,44,7.07
50,7,64,8.12
31,4,44,5.61
14,1,9,6.43
14,1,9,6.38
18,5,51,5.21
27,10,75,5.09
23,2,20,7.69
13,9,72,7.61
35,4,47,9.39
17,2,32,5.00
40,10,75,4.70
7,6,56,4.09
5,9,73,6.93
20,10,76,4.70
3,4,47,7.04
5,5,50,3.00
53,9,72,6.64
6,1,6,1.58
7,4,47,5.83
29,7,64,7.25
5,3,39,7.63
21,4,48,8.45
9,1,6,5.49
42,1,4,8.46
16,4,48,4.86
31,8,69,3.32
8,2,25,5.98
10,8,68,4.46
15,2,33,5.29
22,3,39,6.13
46,3,39,7.69
3,3,38,4.32
60,1,5,5.73
8,9,73,7.06
7,1,9,2.32
70,3,41,8.21
31,7,63,7.67
3,3,38,7.31
10,9,73,3.00
3,4,48,5.86
12,3,39,2.81
12,4,46,5.55
6,3,38,5.43
31,8,69,3.46
29,1,5,12.59
9,9,73,2.00
31,4,47,6.73
9,6,61,6.07
12,9,71,8.54
22,4,44,5.64
13,1,9,5.36
13,9,73,1.58
14,2,19,5.36
8,2,28,6.11
7,4,47,3.58
36,6,55,5.55
6,2,32,1.00
3,6,56,5.17
11,10,75,3.00
29,9,71,6.02
9,2,28,4.39
12,4,48,5.32
8,5,52,5.86
10,2,34,6.13
16,4,44,5.93
5,1,10,7.95
35,1,10,9.94
45,4,48,4.52
2,3,38,6.91
11,9,73,6.86
31,3,41,7.23
18,1,7,6.70
11,2,27,7.92
28,3,39,5.78
10,3,40,4.91
66,1,8,8.15
13,11,77,5.91
4,4,47,5.29
4,2,28,5.39
6,2,18,9.06
17,4,45,7.72
41,1,10,11.80
20,10,75,2.00
22,1,8,8.26
22,9,72,7.37
3,2,28,4.81
3,4,47,4.86
28,3,40,4.64
30,9,70,10.83
6,5,51,4.00
23,6,62,7.72
8,7,63,3.32
34,1,8,8.66
2,7,66,1.00
7,9,71,4.81
30,3,38,6.07
7,1,8,5.00
17,10,75,4.39
5,2,21,6.82
11,9,73,4.39
11,1,9,5.04
6,2,28,8.58
6,4,49,4.46
67,4,45,9.93
6,2,34,4.32
60,2,25,8.95
14,1,6,10.37
17,2,22,9.67
11,2,26,8.00
6,3,39,6.79
8,4,48,3.58
6,2,24,2.58
11,2,33,5.13
24,2,22,5.43
11,6,58,12.86
73,2,27,9.22
23,6,57,1.00
8,10,75,9.05
16,5,50,2.58
31,2,22,6.98
7,1,5,9.61
14,4,47,8.27
2,5,50,5.46
13,2,22,10.30
66,9,73,6.41
4,1,6,7.85
26,9,73,8.41
33,7,65,12.14
3,2,19,9.32
61,1,5,8.37
10,1,9,6.13
24,2,22,6.64
3,1,10,6.07
59,6,55,9.38
20,2,19,6.19
23,10,75,6.69
67,2,32,6.32
31,3,38,9.43
1,11,77,6.78
64,2,17,6.43
23,6,55,5.58
61,2,23,5.55
25,9,73,1.58
12,7,65,6.17
3,1,5,9.12
2,1,5,7.93
17,4,45,11.74
47,4,45,8.56
15,3,38,6.34
16,9,73,7.28
6,3,38,1.58
11,4,49,8.77
10,9,71,9.27
5,2,33,5.46
41,1,4,7.54
10,7,63,7.37
48,1,8,11.56
12,5,51,2.58
13,2,18,3.91
17,4,45,11.05
7,10,76,5.52
35,2,25,7.51
46,10,76,5.25
11,10,76,6.77
14,1,9,5.98
18,4,47,7.00
6,4,45,7.38
8,1,10,8.67
18,1,4,2.58
26,1,4,7.42
10,2,19,4.64
22,7,64,9.13
16,10,76,4.81
18,2,22,4.86
15,2,24,6.64
8,2,20,3.32
6,2,20,2.00
19,2,27,4.95
12,3,38,10.68
9,8,68,5.25
10,7,64,4.25
11,6,56,3.91
14,7,66,8.74
14,7,67,6.13
67,1,9,7.26
46,3,39,6.89
17,10,75,5.43
2,2,21,4.86
25,5,51,1.00
8,2,17,4.17
6,4,47,4.17
15,2,29,5.29
32,5,51,6.21
42,9,70,7.66
8,3,39,3.46
33,6,57,10.76
5,2,33,5.43
27,1,9,10.89
11,9,73,4.17
22,1,9,6.11
43,1,5,8.73
34,2,22,4.91
6,2,24,2.81
18,1,6,9.92
10,9,73,3.32
15,1,5,7.01
71,8,68,9.18
7,1,5,10.79
28,2,16,8.54
28,5,51,6.99
19,1,8,7.52
28,9,70,8.30
6,2,24,2.81
21,1,8,7.43
16,10,76,6.52
13,2,23,11.05
6,5,50,1.00
33,1,8,8.10
74,2,34,10.06
6,3,38,1.58
12,4,47,7.42
2,3,40,2.32
7,6,55,7.10
26,5,51,6.13
27,2,35,8.77
12,4,47,5.46
11,2,24,5.04
11,4,47,4.95
7,4,46,3.81
9,7,67,4.58
17,7,65,4.00
14,1,8,8.97
31,1,6,10.33
65,2,32,9.46
4,2,22,4.91
5,11,77,3.46
8,2,32,6.11
6,4,47,5.32
24,7,63,3.00
12,2,23,7.15
6,9,71,6.61
16,9,73,4.58
14,7,67,3.70
5,1,10,5.39
26,7,64,4.58
10,3,40,7.22
5,1,2,3.17
15,2,35,8.68
2,11,77,5.91
17,3,38,8.31
12,2,23,2.81
6,4,46,6.71
15,4,49,5.67
8,9,73,9.45
24,1,6,6.78
7,2,18,5.00
7,7,63,7.03
16,1,11,6.69
34,6,59,5.17
33,4,46,10.53
30,5,53,5.49
16,4,46,5.13
18,1,9,11.86
18,3,39,8.05
31,2,22,7.19
5,4,48,6.19
20,5,50,5.98
16,5,51,10.78
24,10,76,2.81
7,6,57,2.00
22,4,47,6.75
7,6,62,3.46
16,11,77,4.75
46,4,44,6.46
18,2,19,6.23
38,10,76,5.00
29,2,27,9.39
50,4,45,4.25
11,1,5,13.87
3,2,24,4.39
57,9,70,7.75
6,2,25,11.27
47,6,55,6.23
62,1,5,3.70
22,1,9,5.83
39,2,19,7.13
24,8,68,6.30
41,1,5,4.75
17,2,27,8.61
43,4,44,7.00
66,4,44,7.69
8,7,65,4.81
11,10,76,5.75
6,10,75,9.26
5,6,55,7.70
6,2,24,2.81
27,2,29,5.49
13,1,9,5.46
25,3,38,8.52
33,1,7,8.72
24,3,39,3.70
52,1,8,6.69
2,3,40,3.46
19,4,47,5.43
8,9,73,7.38
2,5,51,5.00
23,1,5,10.88
26,2,32,3.32
18,7,63,5.13
3,7,63,2.32
7,3,40,10.20
4,2,32,7.16
10,4,48,7.69
4,2,19,3.17
16,4,47,8.33
5,4,49,3.91
9,1,6,3.70
16,1,5,4.09
1,2,24,3.00
11,6,56,5.95
15,1,8,11.23
7,6,59,2.32
66,9,70,9.78
13,1,7,8.75
9,4,46,4.00
14,1,9,6.36
8,4,46,3.91
3,2,22,6.79
30,5,51,5.32
1,4,48,3.32
12,4,48,11.33
9,2,23,4.17
30,1,9,7.04
24,2,25,7.43
4,2,19,3.00
17,3,39,3.81
6,9,72,2.32
10,9,70,4.52
39,7,65,5.17
12,4,47,5.09
17,7,66,2.81
3,6,56,10.34
31,7,63,5.98
34,1,8,8.13
22,4,44,5.67
28,6,61,3.17
11,4,47,6.67
21,3,39,5.32
6,7,65,4.52
24,10,76,5.83
18,4,47,4.32
73,9,73,5.73
53,9,2,5.32
16,7,66,4.70
65,3,41,7.91
26,10,76,5.55
17,2,25,5.49
7,2,29,4.64
69,2,25,11.56
11,1,9,5.17
5,7,65,4.46
19,1,4,8.69
12,2,29,4.86
28,3,38,3.58
13,2,19,3.32
5,4,47,7.68
16,10,75,4.70
21,9,71,9.30
52,4,45,8.16
8,5,50,7.86
66,1,8,8.68
24,3,39,10.08
8,2,32,5.46
2,5,51,5.04
15,7,65,7.01
6,4,42,5.21
38,5,50,9.98
22,7,63,7.04
30,3,38,8.17
11,6,56,6.13
4,9,72,7.62
18,4,49,7.03
7,1,15,8.99
6,9,71,6.67
69,3,40,7.00
9,2,28,3.70
12,2,18,5.17
23,8,68,9.96
21,4,46,6.43
7,11,77,4.17
24,1,9,6.54
49,2,35,5.83
5,4,47,4.86
7,8,68,6.09
4,2,23,7.25
